0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:45 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/lay/modules/laytpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:45 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/lay/modules/carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:45 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/lay/modules/laypage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/index.html HTTP/1.1" 200 24490
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/20151104697_zhongyangyang_GraduationDesign/res/layui/layui.js HTTP/1.1" 404 1202
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/20151104697_zhongyangyang_GraduationDesign/res/static/img/banner1.jpg HTTP/1.1" 404 1218
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/20151104697_zhongyangyang_GraduationDesign/res/layui/css/layui.css HTTP/1.1" 404 1212
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/20151104697_zhongyangyang_GraduationDesign/res/static/img/logo.png HTTP/1.1" 404 1212
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/20151104697_zhongyangyang_GraduationDesign/res/static/css/main.css HTTP/1.1" 404 1212
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:07:27 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img1.jpg HTTP/1.1" 404 1216
